td_item,identification_latency,is_self_identified
IMPALA-1963|1,37,False
IMPALA-2068|0,924,False
IMPALA-2076|0,815,False
IMPALA-2244|0,89,False
IMPALA-2295|0,346,False
IMPALA-2341|0,347,True
IMPALA-2435|0,605,False
IMPALA-2457|0,65,False
IMPALA-2632|0,1230,False
IMPALA-2642|0,442,True
IMPALA-2707|0,202,False
IMPALA-3017|0,176,False
IMPALA-3077|0,539,False
IMPALA-3103|0,92,True
IMPALA-3276|0,103,True
IMPALA-3329|0,931,False
IMPALA-3344|0,561,False
IMPALA-3548|0,168,False
IMPALA-3652|0,709,False
IMPALA-3671|0,315,True
IMPALA-4652|0,1,True
IMPALA-5273|0,564,False
IMPALA-5341|0,488,False
IMPALA-5688|0,322,False
IMPALA-7205|0,602,False
IMPALA-8005|0,434,False
IMPALA-8248|0,1,True
IMPALA-9530|0,1523,False
THRIFT-221|0,43,True
THRIFT-240|0,26,False
THRIFT-503|0,402,True
THRIFT-813|0,139,False
THRIFT-873|0,22,False
THRIFT-1003|0,26,False
THRIFT-1055|0,1124,False
THRIFT-1065|0,328,False
THRIFT-1065|1,186,False
THRIFT-1065|2,367,False
THRIFT-1100|0,25,False
THRIFT-1103|0,1483,False
THRIFT-1103|1,0,False
THRIFT-1176|0,296,False
THRIFT-1199|0,644,False
THRIFT-1199|1,644,False
THRIFT-1217|0,471,False
THRIFT-1231|0,272,False
THRIFT-1241|0,883,False
THRIFT-1241|1,883,False
THRIFT-1243|0,291,False
THRIFT-1243|1,291,False
THRIFT-1243|2,291,False
THRIFT-1248|0,1203,False
THRIFT-1269|0,315,False
THRIFT-1275|0,1310,False
THRIFT-1290|0,1367,False
THRIFT-1314|0,1640,False
THRIFT-1349|0,903,False
THRIFT-1452|0,1,False
THRIFT-1480|0,111,False
THRIFT-1504|0,1598,False
THRIFT-1533|0,1143,False
THRIFT-1583|0,507,False
THRIFT-1595|0,247,False
THRIFT-1799|0,800,False
THRIFT-1810|0,1633,False
THRIFT-1813|0,1214,False
THRIFT-1813|1,2053,False
THRIFT-1829|0,811,False
THRIFT-1842|0,94,False
THRIFT-1873|0,503,False
THRIFT-1924|0,539,False
THRIFT-1932|0,370,False
THRIFT-1982|0,411,False
THRIFT-1999|0,418,False
THRIFT-2017|0,2423,False
THRIFT-2020|0,6,False
THRIFT-2021|0,426,False
THRIFT-2032|0,1982,False
THRIFT-2032|1,1982,False
THRIFT-2210|0,1715,False
THRIFT-2225|0,544,False
THRIFT-2227|0,1033,False
THRIFT-2246|0,742,False
THRIFT-2246|1,6,False
THRIFT-2263|0,2085,False
THRIFT-2279|0,85,False
THRIFT-2328|0,432,True
THRIFT-2328|1,31,False
THRIFT-2568|0,44,False
THRIFT-2666|0,13,True
THRIFT-2768|0,1476,False
THRIFT-3905|0,365,True
THRIFT-4014|0,815,True
THRIFT-4043|0,308,False
THRIFT-4830|0,4039,False
